transaction_id,timestamp,amount,merchant_category,customer_id,customer_age,customer_location,device_type,previous_transactions,is_fraud
916306a3-f7e2-4371-992a-38ab8030b680,2022-01-02 06:53:04,46.93,fuel,bef45806-a255-4cdb-a45e-012d533eee34,48,NY,tablet,2,0
2d922a41-edd9-4649-81f0-c599db4b923d,2024-09-05 14:18:29,301.01,electronics,f600bad0-d244-42c4-9db3-1115214dd1c4,58,IL,mobile,4,0
9d2ec6cd-f8ed-4c68-9ec7-1450c30b7fe0,2022-12-07 06:24:09,131.67,entertainment,050c0996-fd20-4ce0-94ec-b1bbc1f3c229,23,TX,tablet,2,0
f65f1e63-1b91-4a79-95e4-4dd825992461,2022-08-19 03:58:47,91.29,fashion,71693a5a-7103-4876-9e03-0fcb64ba3e28,69,FL,desktop,6,0
e6a8161d-4fdc-4483-9b61-2c8c86567e78,2023-04-19 12:55:52,16.96,fashion,18ed5ca8-d0eb-4ccf-b4d3-fa37f15b89c7,48,TX,tablet,0,0
8298660b-ec2d-4b57-9213-19c36cae1314,2022-02-18 03:23:07,16.96,fashion,835b4cea-29b6-4fb5-bc6b-9c1573ce5be4,20,FL,desktop,5,0
f7bbd590-528b-439a-9f9b-eb83d19c426f,2023-05-04 04:14:25,5.98,grocery,753c5606-a7b3-40a6-8a15-79f73ecd73d7,57,FL,desktop,0,0
f3b5c758-302c-478a-aad5-7433b703502f,2023-12-08 21:41:26,201.12,grocery,c5f0e7c3-7ece-4e17-8cf7-f69513615672,20,CA,mobile,4,0
e2bd4476-a5ba-42a4-939b-ad8f038a17af,2023-11-23 09:02:41,91.91,fashion,49cfe62d-cc60-4e80-8171-e62bb8e48bf7,50,CA,desktop,2,0
eae97e5a-0127-4210-8307-7b7d7f0f424f,2023-12-31 05:36:52,123.13,fuel,90187a12-689d-4f9e-afe5-282c57141277,69,NY,mobile,5,0
db38b93f-9dd0-4418-b94d-1b3ba6b7392e,2024-11-24 20:04:47,2.08,fuel,a6a13b4c-1a14-4aed-9ee6-85e9eec7c514,30,NY,tablet,1,0
91e64862-274b-483c-a83f-5fdfd31c82c3,2022-05-20 19:31:45,350.36,grocery,0f01e437-5ac2-41d1-8d76-d70025b98220,38,TX,tablet,1,0
6b9d8766-5ae2-4e9f-92ae-637002ed2c8f,2023-09-05 08:43:44,178.64,fashion,d52fdcb7-ec42-4636-8681-fcd55eab7fca,54,CA,desktop,2,0
a26096ca-9bb0-4c6a-a8c6-a9292861afaa,2023-02-22 01:53:58,23.87,fuel,c82651cf-6f9e-42ff-91c0-0ff5e9d717f6,33,FL,tablet,4,0
0d0f846b-7721-4a91-a14f-1ce66dc5f522,2023-08-19 17:17:25,20.07,grocery,0ef349bc-566d-4bc7-9c18-fed5904d80bd,38,CA,desktop,1,0
332a85b4-e265-435b-a252-4633d9d41402,2024-09-04 01:16:22,20.26,fashion,aa61e89e-c63c-4958-ad49-7af265cda4c9,65,FL,tablet,2,0
6a150812-33f5-4fc0-9e5b-e2a85576032a,2023-03-12 01:47:01,36.28,electronics,6637d475-d1ba-44f7-afbe-131b19c38708,61,CA,desktop,5,0
60906371-451b-44a4-9082-260f7d60fa37,2024-08-31 09:03:51,74.39,fashion,80c2c997-a78e-4507-8f02-67f3914775df,30,FL,desktop,5,0
1d3c6458-2173-45b9-8511-421daa009a96,2023-03-07 06:27:29,56.55,fashion,f6b1f549-0801-4822-8ec0-a5dfcbfd2a70,21,TX,tablet,4,0
d861ffc6-a442-44e4-887d-f598dd6e2868,2022-05-01 06:04:20,34.42,entertainment,68c46854-7e5f-40a0-806f-d2a41671ed83,48,CA,tablet,1,0
c7f83eae-f4bb-4a37-ba02-50c0fced1286,2022-04-30 09:58:39,94.64,entertainment,dd05ce80-ff4f-4fa4-ab22-fc5894a96806,26,IL,tablet,3,0
de7d37f1-c5d0-49d6-b9ce-6302cdba8597,2023-01-22 02:33:11,15.02,electronics,f233aaa4-b77d-4881-a7a9-2950bfd6a130,65,IL,tablet,4,0
96c38e8f-0f1c-4e46-aafb-5c702a6e5273,2022-01-22 04:17:10,34.55,electronics,5170aa3f-5357-4566-9d71-9639f4516c47,50,FL,desktop,2,0
f93017bf-8df1-44ac-94d2-6408389ab6d5,2024-12-22 01:28:32,45.63,fashion,e66df721-f26a-48d3-9bd5-29a7aa02dfa7,54,TX,desktop,2,0
1924f3ac-9f7b-4181-85b2-bac737549881,2023-06-01 07:38:33,60.89,fuel,3ccdd5fa-8dd1-4677-a51c-3b9267b044f1,54,FL,tablet,2,0
5d4e9760-6581-49dc-ab9d-3ae31ae0936e,2022-05-28 14:50:13,153.79,electronics,7e4bec6e-1633-4bbb-82bd-e03c6e7ad921,41,TX,tablet,2,0
528c41b4-a51c-49d1-80c7-1df6da64c013,2023-01-30 09:56:20,22.27,fashion,56f24a96-2ee9-48f2-88be-9a3b8c0d4031,42,NY,mobile,2,0
227dccc9-56d4-4d43-a7c4-934dde2c4b62,2023-12-21 18:52:36,72.2,grocery,0693d18e-79ba-475a-9768-e99bdffbe8bd,68,CA,desktop,4,0
430014a5-9a33-4e22-acf4-fad76511284d,2022-01-06 00:47:06,89.75,entertainment,5dfd2e9e-dfd0-4320-a8ce-e6e5b06e57d7,58,TX,desktop,1,0
26e5564a-49ee-4499-b8dc-af1238f3c3e9,2023-03-17 17:43:10,4.76,fuel,91dc5f34-f972-4c9f-9a56-6c668b13ff80,46,FL,tablet,2,0
a8acfc49-f55f-4383-8e18-9a3d7de199a6,2022-07-29 18:47:27,93.53,fashion,77be4e36-f0a5-4760-80dd-f036a65c2c87,57,NY,mobile,5,0
41bbdefd-ad5a-4edf-a5a5-e441be84a722,2022-05-16 22:23:44,18.7,grocery,8be1ff28-3420-46a6-aff6-5c1bcfa036e5,68,FL,tablet,5,0
9ea7c569-3ec5-4455-bfbd-307800f553ee,2024-05-16 11:54:02,6.73,entertainment,f76012b5-7ad2-4b17-b773-f34f2beea4e3,67,IL,desktop,3,0
25a3c530-f140-48ed-ac4c-62b6fdeb192d,2023-09-25 00:24:52,297.37,grocery,e3069d26-d834-458c-8b38-2561a999d356,64,IL,desktop,1,0
2f6ed380-c3a8-4791-aff7-8feaa3e21179,2023-01-26 03:36:28,337.06,fashion,a3abcc59-46b8-4b1a-a26f-86a4cbe7b2c4,53,CA,mobile,3,0
8b9fdbf1-3677-466e-956e-2a7656a275bf,2023-11-07 01:24:35,165.23,electronics,d72dfd61-9440-48e0-8179-f6d1ea17ccf5,32,CA,tablet,2,0
6867af6f-45f2-4504-a1a2-0e44cfc2a4ce,2022-04-09 19:25:06,36.33,entertainment,86fc34f2-175f-4cc0-b8b9-5acf08105027,62,NY,mobile,1,0
83e81149-7e87-4775-aa36-fe2c79887c84,2022-09-14 12:46:59,10.28,grocery,cb76ab3c-42d0-4f5f-b584-2de0a76d3b54,35,IL,tablet,3,0
f50a7690-9a77-4874-88d7-519210bd49ca,2024-03-29 15:50:41,115.28,electronics,e081d416-dde7-4e8f-9cce-ca9c62ce2264,37,TX,mobile,7,0
7e58f71b-f4cc-4cc4-9d15-e1ab8b76c2b8,2022-06-06 07:24:45,58.01,fuel,f87b50d3-7b3e-4263-8941-f4f0b1f2dc6a,22,IL,tablet,3,0
b9d0c925-20b0-44e9-b311-55aa48f2ac71,2023-05-20 03:17:55,13.02,fashion,01838316-c75c-43e6-927f-8c8dc49f3d8b,35,CA,tablet,3,0
48a004f5-166f-4ba3-87a3-86443667c86b,2023-12-26 07:26:17,68.35,fashion,7008ed8f-56f9-494d-8ac6-e4905222025a,57,FL,tablet,5,0
c81c95ac-b575-4d72-af8f-d1a260001a59,2022-08-12 13:14:09,3.5,entertainment,5b80f56b-a725-49af-bb60-c2075459239a,18,NY,desktop,3,0
e1d0cd33-a296-47cb-b755-f58e664b15ed,2022-01-18 21:50:01,240.04,grocery,a13208e3-7462-407c-9963-92eae55c87eb,36,IL,tablet,1,0
fabe7786-88e0-44b8-9a1b-124a44e1dac9,2024-01-04 00:33:05,29.95,fuel,2feb0f22-498b-4053-8059-3d13025f92fb,40,TX,desktop,5,0
ebf278ca-b385-47e2-a143-c8e906b147df,2022-12-27 10:20:07,108.63,entertainment,4df7c1fd-2bd5-419e-9890-645dbead6228,43,TX,mobile,2,0
55715086-4b94-4239-9e45-758240b4edec,2023-08-19 01:26:52,37.35,entertainment,e8059d8b-2577-41b4-962c-6d1f7f16735f,66,TX,tablet,1,0
34528757-d095-4094-8c69-f3eff2259edc,2024-02-01 16:23:10,73.41,grocery,f7a47784-921d-47ab-b733-d561e9fce646,46,NY,desktop,4,0
883669bc-bc49-44f5-a06c-eedbd1674150,2022-06-05 15:17:05,79.12,fuel,5de6af0c-b39e-4d83-9653-1bc2ca9904b5,51,TX,mobile,3,0
a30b20f2-c250-4754-b0f6-ba61e11e76c9,2024-08-26 07:56:47,20.44,grocery,89ba5d85-a2f4-47eb-b848-a1001a938daa,36,TX,tablet,2,0
4316b3e1-95fc-4e87-9469-c7923b1cb9f0,2024-06-27 02:40:36,349.28,fashion,c5a753f0-f649-4d94-aa7b-4224029113a3,65,IL,mobile,4,0
557ad66e-21e6-462f-b168-b017ba57d5ed,2024-07-02 14:15:11,149.22,electronics,5bf5a716-4470-4b47-adde-2143d7c382db,35,NY,desktop,0,0
6557327e-ffa7-4ef9-b45c-32651266d5b3,2023-12-20 09:13:51,280.51,fashion,2993b0ae-9bb7-4efa-800e-64671cf55f78,19,FL,desktop,2,0
4e1c012c-f4fa-494f-8f9d-7dcde1233591,2022-04-10 13:16:49,225.22,fashion,73948f5f-4aa8-4fbb-b613-b8d5a910fd3e,44,FL,tablet,3,0
57a3bbbf-4c97-4b8d-ab13-7f8829b36244,2022-09-20 14:26:22,91.11,entertainment,5bbe698b-f8ab-463d-b68a-f38c6e2e93d8,23,TX,desktop,3,0
d8a62fbb-263d-4ee3-95cb-003a55823d00,2022-03-01 11:52:33,254.94,fashion,67a34cd8-84bb-458e-8f9d-f267be38b393,56,CA,desktop,2,0
838abc84-2f90-4140-b654-993e5856302d,2024-11-16 07:06:32,9.27,fuel,385c35dd-8aef-4007-8586-e1da172f5124,23,NY,mobile,3,0
9b8ae798-6f97-4781-845c-276213faeafa,2022-08-13 12:46:08,21.81,fashion,1e51f8ac-682d-46a1-a9f9-61f301c49773,23,CA,tablet,3,0
ce9304aa-dbc9-4b4e-b374-97e08cc7aa38,2023-07-15 21:28:37,4.63,fuel,d286d6dd-9cd5-4a2d-ae75-aab5a0af3059,48,NY,tablet,3,0
1f3e89ab-3f23-4a0a-8936-f0cc78c80ec3,2024-04-24 22:48:42,39.35,grocery,b50aa05d-bc3c-4e56-8f60-4c9d784b115e,58,NY,tablet,2,0
b3ffbcbb-24e7-4552-b0b0-584fc53248c3,2024-12-23 02:15:05,49.21,entertainment,f43e71fc-d680-4028-810c-251d297d8b81,57,IL,mobile,1,0
32a29d2e-1ecc-4fa2-817b-d979a2926d8a,2024-11-07 05:29:05,31.66,fuel,5eb93bd4-e629-4969-93bd-08253d433ba4,47,TX,desktop,6,0
65544018-d788-48f1-b246-d6019e880e52,2022-11-22 01:00:27,176.46,fashion,b5215505-9dab-445d-b775-bdf89613c089,38,IL,tablet,3,0
cfcd416c-02d1-4542-8c68-55e2135e276f,2022-02-12 16:35:07,44.12,entertainment,1feeff9e-f3bb-4a99-934a-14bb4d913134,58,CA,tablet,1,0
7618a822-09d2-4e97-a6d2-bea3c6eda80c,2024-01-16 09:50:06,32.98,entertainment,eb2c273d-80c4-4e22-876c-91ce01c3b7b9,61,CA,mobile,3,0
b7a05c3d-0bae-4113-948c-3a360b005bae,2024-04-18 02:48:38,78.24,fuel,27fb1952-b368-470d-8448-11570b7e343b,35,FL,mobile,5,0
2162f7bd-ad79-4982-93f8-a21b564b7397,2023-01-17 09:48:56,15.19,fuel,6817f4cf-2881-43c5-87d1-92ac65fa0e37,40,IL,tablet,0,0
6c7f9821-a437-4248-9893-af30e429df57,2022-08-12 08:52:18,162.05,electronics,4cea92ca-3701-4576-92a9-304004207e0c,55,IL,tablet,3,0
81491ab3-bbc1-4da8-aa83-c33806508b2a,2023-05-06 03:47:31,7.75,electronics,185680df-cfea-4a37-8bc2-8874cce5416d,40,IL,mobile,5,0
0eb2ffeb-1673-47d5-b72a-04531736c9de,2024-11-02 08:04:23,433.41,entertainment,d004517c-fb1e-44e5-9480-038277f08c26,45,FL,mobile,2,0
6540c588-4193-478a-ae30-c7936fb635d0,2022-12-29 18:35:56,147.95,electronics,3061a1e0-be3b-4ce0-af1f-b48014706393,53,IL,mobile,5,0
3fa039d9-8de0-4c63-b3a2-75344e275c7d,2023-10-30 03:47:42,22.15,fashion,3600e198-4763-4ac9-a7b1-85300c6e2650,42,IL,mobile,5,0
bd621969-3ef9-4660-a87f-e7591f46ffa6,2023-05-13 13:53:42,0.55,grocery,240ceee3-072c-4076-94a3-8c2d9603c360,24,IL,desktop,1,0
65656eb6-7ee9-41b6-a0de-6634bb9baadb,2023-05-21 12:00:18,168.99,entertainment,b44c3ed6-f6da-44ff-8529-801d9a794694,35,IL,desktop,3,0
a63794ff-30ab-4487-9bdf-9de5a41077f3,2023-07-27 16:55:54,122.71,grocery,1c924199-5f62-4818-a6f2-c3b839e82bb0,37,CA,tablet,3,0
ffcb1f9a-ec75-4183-b81d-22b7726b1562,2022-07-25 14:06:38,130.57,electronics,264e6157-5727-4ecf-8216-ae80f51f650a,22,TX,desktop,2,0
25692c37-0131-4604-ad98-553e81e5a24e,2024-08-07 15:20:45,147.52,fuel,ed3757ab-ca48-45dc-95a0-755bd48acf7b,35,CA,mobile,7,0
ad43d1aa-7b7e-4ae3-9cbc-c28973d63e0e,2023-11-13 04:08:25,7.69,entertainment,e4cafad7-33e8-44b6-990e-9d00652623de,59,IL,tablet,7,0
f98db5d3-1a86-4e30-bae7-4f1a81d0e912,2023-08-23 13:39:38,44.39,electronics,9f4c0768-d202-4286-8882-9322bc0caf9c,57,NY,mobile,2,0
032c1630-22b2-4115-8c29-c96c004ac26c,2022-02-07 17:26:32,12.32,fashion,f21660ec-c716-449c-9070-1a61a0431703,50,NY,desktop,1,0
d34f3c54-14ae-437e-b383-e57417c1556d,2024-10-30 20:38:51,198.85,entertainment,ed1bd070-ff6e-42a6-bcb4-99061fcc1bf8,32,FL,mobile,3,0
641686eb-f496-456d-a65e-2ced74fe379f,2022-11-03 00:19:08,97.63,entertainment,4a3dbd55-c902-4298-8d52-df79f95c7e56,52,CA,tablet,2,0
2131cb0e-e3da-4c15-9955-83fe58d57072,2024-07-22 09:45:50,40.18,fuel,6830d65d-7929-4e2b-aecd-db760e4d4979,64,FL,desktop,7,0
4e53d942-74f3-49ac-a510-525c3883e9ec,2023-02-16 01:27:11,6.57,entertainment,d276281c-ba53-4ebd-aa9d-a803dd6fe9d2,63,FL,tablet,3,0
0115a0b0-4c36-4844-b973-928fd717df11,2022-02-28 07:44:39,37.25,fuel,a56a8163-6fc5-4cad-b83e-d04205ca4a2e,18,NY,desktop,3,0
d1e35beb-398f-4fee-b566-bdad00ea0966,2022-03-01 19:38:56,39.33,electronics,523ea3eb-f67e-4705-a301-018392cd6aad,38,CA,mobile,7,0
e8b3855b-69f5-4d96-b6b8-5957e412cba4,2023-08-16 08:26:08,130.79,fashion,80bde0ba-fca7-4be9-a60c-269dc03a2dfa,25,TX,tablet,3,0
0ba85e52-32c3-4238-80b9-698aa29b95e3,2024-01-09 06:09:30,101.49,fashion,4b8380c9-f30b-4a72-81d8-575e8b8864bb,24,CA,desktop,3,0
7e48ec68-01bf-4ec6-af69-77713766e208,2023-12-22 14:08:10,218.23,entertainment,fff46c4a-b926-4f29-aadc-2307ccb71273,58,FL,desktop,6,0
8ffe8a45-3a27-47e2-aa70-3c41ea3e47f1,2023-04-22 12:03:54,63.91,entertainment,62b722ac-5216-433c-a8ab-1d771fcf4c28,67,IL,desktop,4,0
dfa5d986-3b5c-4733-b7d2-80f2a47eb2f8,2022-05-25 18:51:42,12.74,electronics,a714b227-1d58-4217-9cdd-b001855ba7c0,61,FL,desktop,3,0
bfe0febe-1826-4f66-93e8-c2b70c33c1d0,2024-07-19 04:54:15,124.91,fuel,7a479e96-4510-4c37-96d6-eddbb09db431,57,CA,mobile,4,0
5c5bad0e-0f85-40e8-91cd-0f866cbe8f0d,2024-10-14 04:13:38,143.04,fashion,251ead62-f872-4017-9e59-795505ef832f,57,NY,mobile,4,0
4fdd8e12-c590-4760-8c9e-26f81c7e8a9e,2022-05-20 09:26:55,82.39,fuel,964a1f74-6818-4dbb-b804-99db244d7699,47,CA,desktop,1,0
b084a19b-34bb-4257-93a8-47b5be7eeecd,2022-05-11 06:54:43,147.39,electronics,c8180a2d-acb6-42a8-8847-48b13b75ecec,55,TX,mobile,2,0
c535b6f5-15bf-49b9-9cae-d0718e9dec43,2023-07-24 02:13:38,68.08,fashion,a3e1baab-8638-48c2-8077-41ce42dea0c5,52,IL,mobile,3,0
f7087e14-f493-4b08-9b77-28517166a5e2,2022-02-28 01:34:59,73.97,fashion,90110ac3-12b7-4299-a096-a87efb41d127,19,IL,desktop,2,0
71aab25d-e30a-4dd2-8b43-3e50dd0fd010,2023-05-27 16:29:28,55.78,grocery,fa11635e-c2d9-4f44-9405-388fa1e87001,63,FL,mobile,0,0
c3594ed7-422f-4ce9-a84d-45eb07e3124e,2023-11-09 12:29:34,2.57,electronics,0a273901-eaf6-4bbc-82c6-8b69d48b67ac,25,CA,tablet,1,0
a8729fb2-9f0b-47a2-bee9-78f827acad99,2022-06-15 07:00:23,11.42,electronics,d4159be2-c18c-469a-a0b6-efefea95c58d,55,NY,tablet,0,0
beed2d01-cedd-4a1b-8350-46307b56e456,2023-09-18 20:10:03,3.19,grocery,5f476474-36de-4b57-8001-048457b06f7a,21,TX,mobile,3,0
d05409f7-e47b-4c19-8ef6-ea06bcb569fd,2024-03-18 17:51:02,101.17,fuel,36619f6a-7bea-4b84-a25f-7bf6e33a105d,54,FL,desktop,0,0
92d56ef1-50ef-4044-ba43-1be9c3bad32e,2024-04-20 05:24:21,37.74,grocery,abafcea5-0c7f-4d4e-841e-7882b46b7c9e,38,CA,tablet,2,0
597e0e19-ca66-4a22-9c61-13420a8d0cfc,2023-03-05 06:24:01,71.04,electronics,9939fc91-21a8-4f75-89f8-4c6fb8cb283e,30,NY,mobile,1,0
a6ec230e-72c8-4dd3-beef-bc51e14e1c98,2022-10-17 09:54:12,238.13,fuel,a294368f-e27f-481d-8e1b-9fa4b2c0874f,26,CA,mobile,2,0
33fafcad-455d-472f-8bde-c16ae2917e58,2024-07-28 02:10:20,28.67,fashion,38e4ed6b-652e-4f71-b9ab-4da36a5df690,62,NY,desktop,0,0
45dca026-b38c-4db5-a849-293f62f1d94c,2023-10-19 13:45:12,52.83,grocery,c84af80a-113b-4f59-91a4-79426e27e656,46,CA,desktop,7,0
7c0771f5-9d4e-4207-92c1-90899cb35b7d,2023-01-13 02:31:26,140.87,fuel,5135d7bd-1acb-40fc-8505-d2791aa607c4,58,CA,mobile,3,0
6c893524-4180-4593-ae5a-5c7d47565d80,2022-09-28 17:40:21,25.98,fuel,ae2024b3-0b27-40ae-b44a-040731cf5651,41,FL,desktop,2,0
c7c8552d-f6d1-4de7-9a8c-df5d64953b65,2024-11-24 01:31:09,8.01,fuel,33a94f3c-e771-4906-b928-7a8b35029511,33,CA,tablet,4,0
59188afb-cedc-4fc9-aa8c-3730f4d75387,2022-01-03 07:00:58,34.21,grocery,355c11e1-b02c-49ce-8766-55d94aad52e8,29,CA,tablet,1,0
3487c0d6-5044-4170-8426-e5c5f26d67d4,2024-07-04 04:43:36,17.58,fashion,67eb1237-aaa1-4ea4-b281-708ed1aed4b2,19,FL,mobile,4,0
0d454a7d-e2f5-4e00-ac4b-06f8e7141453,2022-06-12 16:39:50,265.5,fuel,42bea1a9-c0e5-44ec-b7f1-a3a359729761,36,FL,mobile,5,0
49eed011-af4c-442a-9092-a306b09b3e42,2022-11-09 13:56:19,165.09,grocery,dae87f11-d73f-474b-9046-a9b4baf83a8f,47,IL,desktop,3,0
0f6c63d6-a5f6-4c42-82f6-ed6ad25fe47d,2023-07-16 04:28:24,100.35,electronics,0d883777-bd51-4c55-bae8-9f7ba5a24628,33,IL,tablet,2,0
1763cbc6-160f-4bfe-bafb-d52f4afe2437,2022-06-19 22:00:37,205.15,grocery,dd04f725-3ecf-4dab-ab0c-e50a4413cd99,41,FL,desktop,0,0
b7faf542-1de6-4926-b811-a1c74208df17,2024-11-14 20:52:55,162.8,grocery,d6f114b3-cc44-4829-9201-4797df8cc165,30,TX,mobile,0,0
1191e94f-5771-400a-b9c3-4ecc7465995e,2023-01-23 07:04:24,20.65,grocery,9951e34f-a6b6-4695-82b7-73ba274789b9,22,NY,mobile,4,0
6ec3638e-490b-4d8e-b787-853671c0ed20,2022-12-15 19:06:59,223.08,fuel,c0e42887-72f7-4252-b25b-bb1e1dfb3977,40,FL,mobile,0,0
8185f9a1-88c8-4904-bff7-ccf11d30026c,2024-03-27 09:46:34,77.51,grocery,89b158da-234b-41c2-8c63-76805a6b5901,55,IL,mobile,4,0
